No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
1696,DITINTELKAM POLDA JATIM,009601003646307                                                                                                                                                                                                                                 ,BPN 135 DITINTELKAM POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1697,DITLANTAS POLDA JATIM,00000000960100161                                                                                                                                                                                                                               ,BPN 135 DITLANTAS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1698,DITLANTAS POLDA JATIM,009601001616306                                                                                                                                                                                                                                 ,BPN 135 DITLANTAS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1699,DITPAMOBVIT POLDA JAWA TIMUR,00000000588773594                                                                                                                                                                                                                               ,BPN 135 DITPAMOBVIT POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1700,LANUD SURABAYA,008601002446303                                                                                                                                                                                                                                 ,BPN 135 LANUD SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1701,POLRES GRESIK,002601000586303,BPN 135 POLRES GRESIK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1702,POLRES PELABUHAN TANJUNG PERAK,032801002678302                                                                                                                                                                                                                                 ,BPN 135 POLRES PELABUHAN TANJUNG PERAK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1703,POLRESTABES SURABAYA,09601004717305,BPN 135 POLRESTABES SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1704,POLRESTABES SURABAYA,021101000651305,BPN 135 POLRESTABES SURABAYA,31/07/2024,14.046.602.653.00,"Rp407.978.666.161,00", , 
1705,POLRES GRESIK,9898986444590000,BPN 136 POLRES GRESIK,31/07/2024,7.000.000.000.00,"Rp407.978.666.161,00", , 
1706,BALAI BESAR LABORATORIUM KESEHATAN MASYARAKAT SURABAYA,8100126907831000                                                                                                                                                                                                    ,BPG 135 BBLKM SURABAYA,31/07/2024,43.876.676.00,"Rp407.978.666.161,00", , 
1707,Asrama Haji Surabaya,8100123525441000                                                                                                                                                                                                                                ,BPG 135 ASRAMA HAJI SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1708,BALAI BESAR LABORATORIUM KESEHATAN SURABAYA,8100124156021000                                                                                                                                                                                                                                ,BPG 135 BALAI BESAR LABKES SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1709,BALAI BESAR PENGAWAS OBAT DAN MAKANAN SURABAYA,650234327841000                                                                                                                                                                                                                                 ,BPG 135 BALAI BPOM SBY,31/07/2024,5.005.164.00,"Rp407.978.666.161,00", , 
1710,BALAI HARTA PENINGGALAN SURABAYA,9890680992991000,BPG 135 BALAI HARTA PENINGGALAN SBY,31/07/2024,77.654.670.00,"Rp407.978.666.161,00", , 
1711,BALAI TEKNIK PERKERETAAPIAN WILAYAH JAWA BAGIAN TIMUR,9891504673371000                                                                                                                                                                                                                                ,BPG 135 BALAI TEKNIK PKERETAAPIAN JATIM,31/07/2024,90.125.100.00,"Rp407.978.666.161,00", , 
1712,BALAI MONITOR SPEKTRUM FREKUENSI RADIO  KELAS II DI SURABAYA,8100126134131000                                                                                                                                                                                                                                ,BPG 135 BALMON SPEKTRUM FREK RADIO SBY,31/07/2024,201.622.864.00,"Rp407.978.666.161,00", , 
1713,BAPPEDA PROVINSI JAWA TIMUR,80005000500601000                                                                                                                                                                                                                               ,BPG 135 BAPPEDA JATIM 050060,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1714,BAPPEDA PROVINSI JAWA TIMUR,9890244841541000,BPG 135 BAPPEDA PROV JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1715,BARISTAND INDUSTRI SURABAYA,9891152472111000,BPG 135 BARISTAND INDUSTRI SBY,31/07/2024,88.699.851.00,"Rp407.978.666.161,00", , 
1716,BALAI BESAR KEKARANTINAAN KESEHATAN SURABAYA,9890384161201000,BPG 135 BBKK SURABAYA,31/07/2024,62.040.039.00,"Rp407.978.666.161,00", , 
1717,BALAI BESAR LABORATORIUM KESEHATAN MASYARAKAT SURABAYA,8100126907831000,BPG 135 BBLKM SURABAYA,31/07/2024,43.876.676.00,"Rp407.978.666.161,00", , 
1718,BALAI BESAR TEKNIK KESEHATAN LINGKUNGAN DAN  PENGENDALIAN PENYAKIT SURABAYA,8100125601271000                                                                                                                                                                                                                                ,BPG 135 BBTKLPP SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1719,BALAI DIKLAT INDUSTRI SURABAYA,8100125793441000,BPG 135 BDI SURABAYA,31/07/2024,180.000.000.00,"Rp407.978.666.161,00", , 
1720,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN SURABAYA,653214253811000                                                                                                                                                                                                                                 ,BPG 135 BDK KEAGAMAAN SURABAYA,31/07/2024,322.836.710.00,"Rp407.978.666.161,00", , 
1721,BEKANGDAM V/BRW,652813442651000                                                                                                                                                                                                                                 ,BPG 135 BEKANGDAM V/BRAWIJAYA,31/07/2024,60.000.000.00,"Rp407.978.666.161,00", , 
1722,BID TIK POLDA JATIM,8100126511211000                                                                                                                                                                                                                                ,BPG 135 BID TI POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1723,BIDDOKKES POLDA JATIM,8100126440301000                                                                                                                                                                                                                                ,BPG 135 BIDDOKKES POLDA JATIM,31/07/2024,353.428.130.00,"Rp407.978.666.161,00", , 
1724,BIDHUMAS POLDA,8100125367421000                                                                                                                                                                                                                                ,BPG 135 BIDHUMAS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1725,BIDKEU POLDA JATIM,654606440231000                                                                                                                                                                                                                                 ,BPG 135 BIDKEU POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1726,BIDKEU POLDA JATIM,8100126440231000,BPG 135 BIDKEU POLDA JATIM,31/07/2024,49.220.706.706.00,"Rp407.978.666.161,00", , 
1727,BIDKUM POLDA,8100125367411000,BPG 135 BIDKUM POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1728,BIDPROPAM POLDA JATIM,652376511141000                                                                                                                                                                                                                                 ,BPG 135 BIDPROPAM POLDA JATIM,31/07/2024,674.502.000.00,"Rp407.978.666.161,00", , 
1729,ROLOG POLDA JATIM,8100126439901000                                                                                                                                                                                                                                ,BPG 135 BIRO SARAS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1730,ROOPS POLDA JATIM,8100126438941000                                                                                                                                                                                                                                ,BPG 135 BIROOPS POLDA JATIM,31/07/2024,47.235.500.00,"Rp407.978.666.161,00", , 
1731,BALAI KARANTINA IKAN. PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN KELAS I SURABAYA II,8100126497881000                                                                                                                                                                                                                                ,BPG 135 BKIPMKHP SURABAYA II,31/07/2024,64.806.499.00,"Rp407.978.666.161,00", , 
1732,BADAN NARKOTIKA NASIONAL KABUPATEN GRESIK,8100126896391000                                                                                                                                                                                                                                ,BPG 135 BNN KAB GRESIK,31/07/2024,756.097.00,"Rp407.978.666.161,00", , 
1733,BADAN NARKOTIKA NASIONAL KABUPATEN PASURUAN,8100124037151000                                                                                                                                                                                                                                ,BPG 135 BNN PASURUAN,31/07/2024,27.336.600.00,"Rp407.978.666.161,00", , 
1734,BALAI PENGAMANAN ALAT DAN FASILITAS KESEHATAN SURABAYA,8100126908051000,BPG 135 BPAFK SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1735,BALAI PENGAMANAN FASILITAS KESEHATAN SURABAYA,8100125527131000                                                                                                                                                                                                                                ,BPG 135 BPFK SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1736,BALAI PENGELOLA TRANSPORTASI DARAT WILAYAH XI,9891204038511000                                                                                                                                                                                                                                ,BPG 135 BPTD WILAYAH XI PROVINSI JATIM,31/07/2024,227.570.132.00,"Rp407.978.666.161,00", , 
1737,MAKODAM V/BRW,652843442591000                                                                                                                                                                                                                                 ,BPG 135 DENMADAM VBRW,31/07/2024,26.421.517.500.00,"Rp407.978.666.161,00", , 
1738,PENGADILAN MILITER  III   12 DI SURABAYA,653256633141000                                                                                                                                                                                                                                 ,BPG 135 DILMIL III 12 SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1739,PENGADILAN MILITER  III   12 DI SURABAYA,651556633151000                                                                                                                                                                                                                                 ,BPG 135 DILMIL III 12 SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1740,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0591901000                                                                                                                                                                                                                                      ,BPG 135 DINAS KP PROV JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1741,DINAS PETERNAKAN PROVINSI JAWA TIMUR,9890780591861000                                                                                                                                                                                                                                ,BPG 135 DINAS PETERNAKAN JATIM (059186),31/07/2024,0.00,"Rp407.978.666.161,00", , 
1742,DINAS PENANAMAN MODAL DAN PELAYANAN TEADU SATU PINTU PROVINSI JAWA TIMUR,9890244841531000                                                                                                                                                                                                                                ,BPG 135 DINAS PMPTSP JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1743,DINAS KESEHATAN PROVINSI JAWA TIMUR,0500091000,BPG 135 DINKES JATIM 01,31/07/2024,100.000.000.00,"Rp407.978.666.161,00", , 
1744,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,0500401000,BPG 135 DIPERTA DAN KP 050040,31/07/2024,10.000.000.00,"Rp407.978.666.161,00", , 
1745,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120590001000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059000,31/07/2024,1.674.500.00,"Rp407.978.666.161,00", , 
1746,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120590041000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059004,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1747,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591061000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059106,31/07/2024,72.330.150.00,"Rp407.978.666.161,00", , 
1748,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591781000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059178,31/07/2024,26.453.000.00,"Rp407.978.666.161,00", , 
1749,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591791000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059179,31/07/2024,20.000.000.00,"Rp407.978.666.161,00", , 
1750,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120591851000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059185,31/07/2024,42.870.800.00,"Rp407.978.666.161,00", , 
1751,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,8100120594441000                                                                                                                                                                                                                                ,BPG 135 DIPERTA DAN KP 059444,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1752,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591871000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM (059187),31/07/2024,4.000.000.00,"Rp407.978.666.161,00", , 
1753,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591141000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM 05DK,31/07/2024,1.332.000.00,"Rp407.978.666.161,00", , 
1754,DINAS PERKEBUNAN PROVINSI JAWA TIMUR,0591801000                                                                                                                                                                                                                                      ,BPG 135 DISBUN JATIM 05TP,31/07/2024,79.794.000.00,"Rp407.978.666.161,00", , 
1755,DINAS KOPERASI. UKM. PERINDUSTRIAN DAN PERDAGANGAN KAB. GRESIK,9890770501491000                                                                                                                                                                                                                                ,BPG 135 DISKUMPERDAG KAB GRESIK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1756,DISTRIK NAVIGASI SURABAYA,8100124129511000                                                                                                                                                                                                                                ,BPG 135 DISNAVKELAS I SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1757,DINAS PERINDUSTRIAN. PERDAGANGAN DAN KOPERASI PROVINSI JAWA TIMUR,8100120591121000                                                                                                                                                                                                                                ,BPG 135 DISPERINDAG JATIM 02,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1758,DINAS PERINDUSTRIAN. PERDAGANGAN DAN KOPERASI PROVINSI JAWA TIMUR,8100120590251000,BPG 135 DISPERINDAG JATIM 03,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1759,DITINTELKAM POLDA JATIM,8100126439161000                                                                                                                                                                                                                                ,BPG 135 DIT INTELKAM POLDA JATIM,31/07/2024,391.614.000.00,"Rp407.978.666.161,00", , 
1760,DITBINMAS POLDA JATIM,8100126766301000                                                                                                                                                                                                                                ,BPG 135 DITBINMAS POLDA JATIM,31/07/2024,26.473.000.00,"Rp407.978.666.161,00", , 
1761,DITLANTAS POLDA JATIM,8100126439411000                                                                                                                                                                                                                                ,BPG 135 DITLANTAS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1762,DITPAMOBVIT POLDA JAWA TIMUR,8100126796001000                                                                                                                                                                                                                                ,BPG 135 DITPAMOBVIT POLDA JATIM,31/07/2024,248.644.000.00,"Rp407.978.666.161,00", , 
1763,DITPOLAIRUD POLDA JATIM,652376440191000                                                                                                                                                                                                                                 ,BPG 135 DITPOLAIR POLDA JATIM,31/07/2024,1.684.917.00,"Rp407.978.666.161,00", , 
1764,DITRESKRIMSUS POLDA JATIM,8100126786471000                                                                                                                                                                                                                                ,BPG 135 DITRESKRIMSUS POLDA JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1765,DITRESKRIMUM POLDA JATIM,8100126439201000                                                                                                                                                                                                                                ,BPG 135 DITRESKRIMUM POLDA JATIM,31/07/2024,2.802.534.412.00,"Rp407.978.666.161,00", , 
1766,DITSAMAPTA POLDA JATIM,8100126439371000                                                                                                                                                                                                                                ,BPG 135 DITSHABARA POLDA JATIM,31/07/2024,105.782.180.00,"Rp407.978.666.161,00", , 
1767,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,8100120500641000                                                                                                                                                                                                                                ,BPG 135 DKP PROV JATIM 01 DK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1768,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590301000                                                                                                                                                                                                                                      ,BPG 135 DNS KLT&PRK JATIM 03DK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1769,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590311000                                                                                                                                                                                                                                      ,BPG 135 DNS KLTN&PRK JATIM 04DK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1770,DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR,0590331000                                                                                                                                                                                                                                      ,BPG 135 DNS KLTN&PRKN JATIM 06,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1771,DINAS PETERNAKAN PROVINSI JAWA TIMUR,80047000591811000                                                                                                                                                                                                                               ,BPG 135 DNS PETERNAKAN JATIM 06 TP,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1772,DINAS PERTANIAN DAN KETAHANAN PANGAN PROVINSI JAWA TIMUR,654236907031000,BPG 135 DPKP PROV JATIM,31/07/2024,350.000.000.00,"Rp407.978.666.161,00", , 
1773,ITWASDA POLDA JATIM,8100126786121000,BPG 135 ITWASDA POLDA JATIM,31/07/2024,25.445.850.00,"Rp407.978.666.161,00", , 
1774,KANTOR IMIGRASI KELAS I TANJUNG PERAK,9898014089531000                                                                                                                                                                                                                                ,BPG 135 KANIM TANJUNG PERAK SBY,31/07/2024,72.587.908.00,"Rp407.978.666.161,00", , 
1775,UNIT PENYELENGGARA PELABUHAN BAWEAN,650694136891000                                                                                                                                                                                                                                 ,BPG 135 KANPEL BAWEAN JATIM,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1776,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650894087531000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408753,31/07/2024,109.685.000.00,"Rp407.978.666.161,00", , 
1777,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650924087541000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408754,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1778,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650854087551000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408755,31/07/2024,25.559.478.00,"Rp407.978.666.161,00", , 
1779,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,650474087561000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408756,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1780,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,651064087571000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408757,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1781,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653984087581000,BPG 135 KANWIL KEMENKUMHAM JATIM 408758,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1782,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653574087591000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408759,31/07/2024,39.383.462.00,"Rp407.978.666.161,00", , 
1783,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,653204087601000                                                                                                                                                                                                                                 ,BPG 135 KANWIL KEMENKUMHAM JATIM 408760,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1784,KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,9890854087511000                                                                                                                                                                                                                                ,BPG 135 KANWIL KEMENTERIAN HUKUM DAN HAM SURABAYA,31/07/2024,17.917.825.00,"Rp407.978.666.161,00", , 
1785,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,652594178221000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417822,31/07/2024,16.410.900.00,"Rp407.978.666.161,00", , 
1786,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,653004178251000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417825,31/07/2024,46.273.165.00,"Rp407.978.666.161,00", , 
1787,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,652734178261000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417826,31/07/2024,33.000.000.00,"Rp407.978.666.161,00", , 
1788,KANTOR KEMENTERIAN. AGAMA KAB. GRESIK,653594178301000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG GRESIK 417830,31/07/2024,2.073.562.00,"Rp407.978.666.161,00", , 
1789,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,652594178161000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417816,31/07/2024,7.838.734.00,"Rp407.978.666.161,00", , 
1790,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653004178171000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417817,31/07/2024,27.727.763.00,"Rp407.978.666.161,00", , 
1791,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,652734178181000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417818,31/07/2024,9.300.000.00,"Rp407.978.666.161,00", , 
1792,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653614178191000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417819,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1793,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,651814178201000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417820,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1794,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653624178211000,BPG 135 KEMENAG SBY 417821,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1795,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,651884178231000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417823,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1796,KANTOR KEMENTERIAN AGAMA KOTA SURABAYA,653584178241000                                                                                                                                                                                                                                 ,BPG 135 KEMENAG SBY 417824,31/07/2024,9.895.938.00,"Rp407.978.666.161,00", , 
1797,KODIM 0830 REM  084 /SURABAYA UTARA,652816850541000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0830/SURABAYA UTARA,31/07/2024,735.300.000.00,"Rp407.978.666.161,00", , 
1798,KODIM 0831 REM  084 /SURABAYA TIMUR,652816850551000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0831/SURABAYA TIMUR,31/07/2024,1.058.700.014.00,"Rp407.978.666.161,00", , 
1799,KODIM 0832 / SURABAYA SELATAN,652816850571000                                                                                                                                                                                                                                 ,BPG 135 KODIM 0832/SURABAYA SELATAN,31/07/2024,893.354.000.00,"Rp407.978.666.161,00", , 
1800,KOGARTAP III/SBY,8100126843351000                                                                                                                                                                                                                                ,BPG 135 KOGARTAP III/SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1801,KOREM 084/W DAM V/BRW,652813442811000                                                                                                                                                                                                                                 ,BPG 135 KOREM 084/BJ,31/07/2024,8.673.584.300.00,"Rp407.978.666.161,00", , 
1802,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN GRESIK,9890274129051000                                                                                                                                                                                                                                ,BPG 135 KSOP GRESIK,31/07/2024,60.453.800.00,"Rp407.978.666.161,00", , 
1803,KANTOR KESYAHBANDARAN UTAMA TANJUNG PERAK,9890274134281000                                                                                                                                                                                                                                ,BPG 135 KSOP UTAMA TG PERAK SBY,31/07/2024,188.490.969.00,"Rp407.978.666.161,00", , 
1804,LABFOR CAB SURABAYA,8100126440511000                                                                                                                                                                                                                                ,BPG 135 LABFOR CAB SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1805,LANUD MULYONO,651663448401000                                                                                                                                                                                                                                 ,BPG 135 LANUD SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1806,MADRASAH ALIYAH NEGERI 1 GRESIK KAB. GRESIK,652734258401000                                                                                                                                                                                                                                 ,BPG 135 MAN 1 GRESIK,31/07/2024,32.742.000.00,"Rp407.978.666.161,00", , 
1807,MADRASAH ALIYAH NEGERI 2 GRESIK KAB. GRESIK,8100545989861000                                                                                                                                                                                                                                ,BPG 135 MAN 2 GRESIK,31/07/2024,39.000.000.00,"Rp407.978.666.161,00", , 
1808,MADRASAH ALIYAH NEGERI SURABAYA KOTA SURABAYA,8100124238431000                                                                                                                                                                                                                                ,BPG 135 MAN SURABAYA,31/07/2024,35.996.593.00,"Rp407.978.666.161,00", , 
1809,MADRASAH TSANAWIYAH NEGERI SURABAYA I KOTA SURABAYA,652734257151000                                                                                                                                                                                                                                 ,BPG 135 MTS N 1 SBY,31/07/2024,29.982.660.00,"Rp407.978.666.161,00", , 
1810,MADRASAH TSANAWIYAH NEGERI 4 KOTA SURABAYA,8100126055081000                                                                                                                                                                                                                                ,BPG 135 MTS NEGERI 4 KOTA SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1811,MADRASAH TSANAWIYAH NEGERI 3 SURABAYA KOTA SURABAYA,652735736031000                                                                                                                                                                                                                                 ,BPG 135 MTSN 3 KOTA SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1812,MADRASAH TSANAWIYAH NEGERI GRESIK KAB. GRESIK,8100544257211000                                                                                                                                                                                                                                ,BPG 135 MTSN GRESIK,31/07/2024,36.000.000.00,"Rp407.978.666.161,00", , 
1813,MADRASAH TSANAWIYAH NEGERI SURABAYA II KOTA SURABAYA,8100124257771000                                                                                                                                                                                                                                ,BPG 135 MTSN II SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1814,PENGADILAN AGAMA BAWEAN,653254012871000                                                                                                                                                                                                                                 ,BPG 135 PA BAWEAN 01,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1815,PALDAM V/BRW,652813442661000                                                                                                                                                                                                                                 ,BPG 135 PALDAM V/BRAWIJAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1816,PENGADILAN AGAMA BAWEAN,651544012881000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA BAWEAN 04,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1817,PENGADILAN AGAMA GRESIK,653244012931000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA GRESIK,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1818,PENGADILAN AGAMA GRESIK,651544012941000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA GRESIK 04,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1819,PENGADILAN AGAMA SURABAYA,653244012401000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA SURABAYA QQ 01,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1820,PENGADILAN AGAMA SURABAYA,653194012411000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN AGAMA SURABAYA QQ 04,31/07/2024,3.500.000.00,"Rp407.978.666.161,00", , 
1821,PENGADILAN NEGERI GRESIK,653240981501000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN NEGERI GRESIK 01,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1822,PENGADILAN NEGERI GRESIK,654440991381000                                                                                                                                                                                                                                 ,BPG 135 PENGADILAN NEGERI GRESIK 03,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1823,PENGADILAN MILITER  TINGGI III DI SURABAYA,653246633001000                                                                                                                                                                                                                                 ,BPG 135 PM TINGGI III SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1824,PENGADILAN MILITER  TINGGI III DI SURABAYA,651556633011000                                                                                                                                                                                                                                 ,BPG 135 PM TINGGI III SBY,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1825,PENGADILAN NEGERI SURABAYA,653240981111000                                                                                                                                                                                                                                 ,BPG 135 PN SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1826,PENGADILAN NEGERI SURABAYA,654440991331000                                                                                                                                                                                                                                 ,BPG 135 PN SURABAYA,31/07/2024,0.00,"Rp407.978.666.161,00", , 
1827,POLRES GRESIK,8100126444591000                                                                                                                                                                                                                                ,BPG 135 POLRES GRESIK,31/07/2024,7.000.000.000.00,"Rp407.978.666.161,00", , 
1828,POLRES PELABUHAN TANJUNG PERAK,652506444911000                                                                                                                                                                                                                                 ,BPG 135 POLRES PELABUHAN TANJUNG PERAK,31/07/2024,3.770.040.780.00,"Rp407.978.666.161,00", , 
1829,POLRESTABES SURABAYA,8100126440651000                                                                                                                                                                                                                                ,BPG 135 POLRESTABES SURABAYA,31/07/2024,16.346.602.653.00,"Rp407.978.666.161,00", , 
1830,POLITEKNIK PENERBANGAN SURABAYA,8100125261811000                                                                                                                                                                                                                                ,BPG 135 POLTEKBANG SURABAYA,31/07/2024,88.393.029.00,"Rp407.978.666.161,00", , 
